CAI;Производитель;Модель;Ширина (мм);;;;;;;;;;;
AA347U;Antares;Comfort A5;215;70;R16;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;14;6 210;5 750
AAB545U;Antares;Comfort A5;225;50;R18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;5;6 430;5 950
AAB329U;Antares;Comfort A5;235;60;R16;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;1;6 750;6 250
AAB572;Antares;Comfort A5;235;60;R18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;более 40;7 270;6 731
AAB699U;Antares;Comfort A5;235;45;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;2;7 220;6 680
AAB565U;Antares;Comfort A5;245;60;R18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;1;7 390;6 837
AAB6536;Antares;Comfort A5;245;45;R20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;15;7 770;7 190
AAB2054;Antares;Comfort A5;255;70;R15;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;9;8 000;7 399
AAB6503U;Antares;Comfort A5;265;45;ZR20;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;3;8 860;8 199
AAB703U;Antares;Comfort A5;265;45;ZR21;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Comfort_A5/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Comfort_A5/src/big_0.png;15;10 780;9 980
